created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Jan 18 15:51:50 +0000 2024;1748010314921365992;"Terimakasih idn live nyaaaa🫶🏻🫶🏻";2;36;42;4696;in;1586992742093103104;1748010314921365992;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1748010314921365992
Thu Jan 18 15:02:45 +0000 2024;1747997965028032638;"Idn live yuuuu";2;49;47;4328;en;1586992742093103104;1747997965028032638;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747997965028032638
Thu Jan 18 13:39:57 +0000 2024;1747977125704130856;"Idn live yu";2;81;40;4231;en;1586992742093103104;1747977125704130856;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747977125704130856
Thu Jan 18 08:18:10 +0000 2024;1747896149099630925;"Hehe";4;131;59;5465;tl;1586992742093103104;1747896149099630925;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747896149099630925
Wed Jan 17 13:10:54 +0000 2024;1747607426680119624;"Idn livee yuuuuuuuuuu";3;78;51;4455;en;1586992742093103104;1747607426680119624;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747607426680119624
Wed Jan 17 09:36:51 +0000 2024;1747553562400522436;"Cu puolll 🫰🏻";3;98;160;7411;lt;1586992742093103104;1747553562400522436;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747553562400522436
Wed Jan 17 09:00:27 +0000 2024;1747544399553483008;"Makasih orang baikkk 🙏🏻🙏🏻😼😺 https://t.co/uHXcBjnVw3";2;59;67;4477;in;1586992742093103104;1747544399553483008;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747544399553483008
Wed Jan 17 08:48:15 +0000 2024;1747541329415139552;"Ayo mabar regi😺";5;116;113;7940;in;1586992742093103104;1747541329415139552;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747541329415139552
Wed Jan 17 08:47:06 +0000 2024;1747541042650591590;"Hehe";2;59;47;4130;tl;1586992742093103104;1747541042650591590;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747541042650591590
Wed Jan 17 07:05:04 +0000 2024;1747515361581531171;"Ih";1;66;55;4373;qst;1586992742093103104;1747515361581531171;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747515361581531171
Wed Jan 17 05:20:13 +0000 2024;1747488975709974552;"selcanya manaa";4;69;44;4704;in;1586992742093103104;1747488975709974552;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747488975709974552
Wed Jan 17 05:11:43 +0000 2024;1747486839685185572;"Yuuuu";4;42;48;3511;qst;1586992742093103104;1747486839685185572;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747486839685185572
Wed Jan 17 05:10:41 +0000 2024;1747486576492614079;"Wkwkw";3;72;58;3899;in;1586992742093103104;1747486576492614079;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747486576492614079
Tue Jan 16 17:06:39 +0000 2024;1747304366829416722;"Udah bang";2;35;56;3941;in;1586992742093103104;1747304366829416722;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747304366829416722
Tue Jan 16 17:06:24 +0000 2024;1747304304690741347;"Wkwk iya bang makasih ya 🙏🏻 Walaupun aku jadi top 1926263 di live ka icel🫶🏻🫶🏻";2;44;72;5244;in;1586992742093103104;1747304304690741347;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747304304690741347
Tue Jan 16 16:58:40 +0000 2024;1747302358915432575;"Wkwk ka icel Waro aku bang🫶🏻🫵🏻";4;59;64;5072;in;1586992742093103104;1747302358915432575;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747302358915432575
Tue Jan 16 16:04:10 +0000 2024;1747288642316648614;"O gt";2;79;62;4201;qst;1586992742093103104;1747288642316648614;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747288642316648614
Tue Jan 16 15:20:34 +0000 2024;1747277673049821232;"Thank u idn nya luv 💗";4;45;47;3326;en;1586992742093103104;1747277673049821232;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747277673049821232
Tue Jan 16 14:39:45 +0000 2024;1747267401031528586;"Live yuuu tapi aku lagi di mobilllll🫶🏻";2;62;50;3875;in;1586992742093103104;1747267401031528586;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747267401031528586
Tue Jan 16 14:20:57 +0000 2024;1747262670494134298;"💗💗 https://t.co/39qpX4c4F6";29;223;1118;14427;qme;1586992742093103104;1747262670494134298;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1747262670494134298
Mon Jan 15 15:05:14 +0000 2024;1746911425313022404;"Semoga yaaaaa";3;87;61;5154;in;1586992742093103104;1746911425313022404;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1746911425313022404
